Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
CA-2020-100000,2020-04-01,2020-04-08,Second Class,CUST-6342,David Charry,Home Office,Mexico,Monterrey,,16570,East,PROD-8351,Technology,Accessories,Accessories 495,309.26,1,0.39,-142.94
CA-2019-100001,2019-04-13,2019-04-17,First Class,CUST-7812,David Charry,Home Office,Argentina,Córdoba,,47380,East,PROD-8519,Office Supplies,Labels,Labels 358,55.88,2,0.15,2.02
CA-2022-100002,2022-01-31,2022-02-05,Standard Class,CUST-1986,Luisa Morales,Home Office,Argentina,Córdoba,,40659,West,PROD-5440,Technology,Accessories,Accessories 814,6065.2,6,0.14,4.36
CA-2021-100003,2021-09-30,2021-10-07,Same Day,CUST-1574,Manuela Granados,Corporate,United States,Los Angeles,,83384,East,PROD-6704,Office Supplies,Labels,Labels 161,48.09,1,0.15,3.88
CA-2021-100004,2021-07-03,2021-07-06,Second Class,CUST-4553,Manuela Granados,Home Office,Mexico,Guadalajara,,35426,Central,PROD-8761,Furniture,Furnishings,Furnishings 397,5153.61,9,0.19,61.86
CA-2020-100005,2020-07-25,2020-07-30,First Class,CUST-6592,Carlos Ramirez,Home Office,Peru,Cusco,,18927,Central,PROD-2440,Technology,Machines,Machines 305,50.96,1,0.1,10.39
CA-2020-100006,2020-02-24,2020-02-29,Second Class,CUST-7471,Manuela Granados,Corporate,Chile,Valparaíso,,41348,North,PROD-3863,Furniture,Tables,Tables 450,295.99,1,0.26,-9.08
CA-2019-100007,2019-12-23,2019-12-30,Standard Class,CUST-7570,Maria Garcia,Corporate,Canada,Toronto,,74106,Central,PROD-9212,Furniture,Chairs,Chairs 407,2037.55,9,0.36,-558.53
CA-2023-100008,2023-09-25,2023-09-27,Standard Class,CUST-7012,Carlos Ramirez,Home Office,Argentina,Córdoba,,46378,North,PROD-1963,Furniture,Furnishings,Furnishings 373,4876.26,7,0.04,1532.12
CA-2019-100009,2019-05-11,2019-05-14,Standard Class,CUST-8052,Luisa Morales,Corporate,Spain,Valencia,,28743,East,PROD-4654,Technology,Accessories,Accessories 959,2153.19,3,0.18,480.61
CA-2019-100010,2019-05-03,2019-05-10,First Class,CUST-7284,Maria Garcia,Consumer,Mexico,Guadalajara,,98789,South,PROD-8285,Technology,Phones,Phones 277,798.58,1,0.31,-115.68
CA-2020-100011,2020-01-19,2020-01-22,Second Class,CUST-6699,Carlos Ramirez,Corporate,Mexico,CDMX,,46451,South,PROD-7807,Technology,Machines,Machines 531,1716.77,9,0.24,188.18
CA-2021-100012,2021-06-14,2021-06-17,Same Day,CUST-1630,Sara Lopez,Corporate,Peru,Arequipa,,78388,East,PROD-9853,Furniture,Bookcases,Bookcases 432,1922.98,7,0.51,-1447.49
CA-2021-100013,2021-08-10,2021-08-15,First Class,CUST-7780,Luisa Morales,Consumer,Brazil,São Paulo,,39371,North,PROD-7602,Office Supplies,Art,Art 280,55.62,3,0.45,-9.19
CA-2024-100014,2024-08-31,2024-09-04,Same Day,CUST-6472,Maria Garcia,Home Office,Spain,Madrid,,82240,North,PROD-6189,Furniture,Tables,Tables 425,1450.38,3,0.06,338.9
CA-2019-100015,2019-04-19,2019-04-22,Second Class,CUST-9533,Sara Lopez,Home Office,Peru,Cusco,,29201,East,PROD-6249,Office Supplies,Storage,Storage 727,8.24,2,0.32,-0.69
CA-2021-100016,2021-03-25,2021-03-31,First Class,CUST-1207,Manuela Granados,Consumer,Peru,Arequipa,,98733,Central,PROD-3665,Furniture,Furnishings,Furnishings 446,2340.6,6,0.19,8.67
CA-2023-100017,2023-09-15,2023-09-20,Standard Class,CUST-7099,David Charry,Consumer,Chile,Concepción,,92205,North,PROD-9555,Technology,Machines,Machines 321,3100.53,9,0.13,-79.29
